#{"t_start": 1524108344.426545, "env_id": "hc-v3"}
r,l,t
1474.560065,1000,717.178435
1516.118828,1000,719.064207
1501.053024,1000,720.022579
1541.683334,1000,720.986264
1484.312155,1000,722.758878
1455.081714,1000,723.683062
1505.051795,1000,725.524036
1521.236421,1000,726.451709
1485.606214,1000,728.408943
1573.979112,1000,729.362108
1494.786336,1000,731.260973
1533.151552,1000,732.24361
1485.004855,1000,734.082644
1560.80383,1000,735.007826
1418.314735,1000,736.866132
1551.052105,1000,737.800237
1490.243249,1000,739.649695
1570.548036,1000,740.626025
1487.907491,1000,742.502884
1495.233411,1000,743.461199
1513.977722,1000,745.443657
1578.947857,1000,746.465437
1490.980493,1000,748.410025
1517.850032,1000,749.373275
1506.340266,1000,751.578592
1535.751283,1000,752.659222
1460.431636,1000,754.567798
1488.678375,1000,755.627471
1519.572584,1000,757.659718
1546.448541,1000,758.666181
1496.066023,1000,760.591488
1474.563112,1000,761.590384
1501.937754,1000,763.416847
1531.536672,1000,764.355172
1519.481183,1000,766.182172
1527.207987,1000,767.14096
1558.500961,1000,769.000269
1527.062972,1000,770.179901
1549.86406,1000,772.337857
1513.129982,1000,773.307413
1577.084934,1000,775.169097
1595.505701,1000,776.121148
1503.166096,1000,777.978198
1550.921612,1000,778.962203
1544.051556,1000,780.819881
1524.912548,1000,781.806644
1513.903417,1000,782.768008
1508.3646,1000,784.63885
1511.535716,1000,785.576202
1508.462266,1000,787.472478
1563.41302,1000,788.416801
1487.793552,1000,790.281156
1662.996,1000,791.218558
1508.020314,1000,793.065269
1558.432752,1000,794.00119
1528.281489,1000,795.905081
1545.485815,1000,796.842207
1539.314875,1000,798.711004
1583.015789,1000,799.640607
1522.291384,1000,801.493868
1571.093602,1000,802.461382
1533.198303,1000,804.349673
1579.893891,1000,805.296839
1509.380808,1000,807.14891
1567.731081,1000,808.089983
1523.909252,1000,809.977647
1524.216047,1000,810.920953
1528.113124,1000,812.723884
1555.36854,1000,813.656479
1540.72028,1000,815.454684
1575.026783,1000,816.399619
1525.341732,1000,818.246586
1531.435444,1000,819.246959
1572.715756,1000,821.103576
1515.373581,1000,822.038501
1530.416288,1000,823.862868
1543.243871,1000,824.802055
1559.067754,1000,826.64084
1546.184412,1000,827.608296
1475.700391,1000,829.483088
1555.773829,1000,830.437357
1514.398176,1000,832.306334
1525.187657,1000,833.381552
1485.846596,1000,835.368007
1573.333653,1000,836.330523
1494.303333,1000,838.147194
1563.867961,1000,839.085491
1513.401612,1000,840.937037
1584.25516,1000,841.906771
1541.442056,1000,842.851332
1480.576282,1000,844.73874
1505.035233,1000,845.75833
1544.48415,1000,847.650761
1611.636575,1000,848.696553
1534.558537,1000,850.656802
1591.623287,1000,851.601477
1533.313595,1000,853.454168
1626.016739,1000,854.416443
1520.785175,1000,856.319937
1577.701899,1000,857.259067
1502.749791,1000,859.125802
1649.960629,1000,860.069636
1546.880235,1000,861.908183
1551.320475,1000,862.850657
1556.175235,1000,864.703359
1512.161305,1000,865.629655
1498.627709,1000,867.552108
1566.921848,1000,868.50429
1496.665932,1000,870.331579
1592.007614,1000,871.276632
1520.591754,1000,873.086264
1617.393297,1000,874.02868
1549.153131,1000,875.855297
1568.546022,1000,876.804792
1554.768494,1000,878.655363
1550.876602,1000,879.604074
1546.825435,1000,881.389799
1653.403533,1000,882.326411
1517.606248,1000,884.130235
1574.680576,1000,885.083544
1553.489432,1000,886.893961
1559.251418,1000,887.838726
1544.890816,1000,889.668487
1515.969337,1000,890.610399
1544.175737,1000,892.408112
1579.425426,1000,893.349917
1558.542158,1000,895.161112
1598.035519,1000,896.111235
1577.780094,1000,897.959511
1604.404826,1000,898.898903
1573.722935,1000,900.813428
1657.879241,1000,901.843551
1609.712276,1000,902.924496
1593.586216,1000,904.963242
1546.608128,1000,905.936165
1551.561395,1000,907.999375
1568.858324,1000,909.213309
1577.299422,1000,911.317251
1610.496074,1000,912.313201
1561.209254,1000,914.25738
1565.643309,1000,915.194674
1596.517127,1000,917.093737
1607.137628,1000,918.057527
1507.412057,1000,919.933105
1590.146132,1000,920.861628
1508.412022,1000,922.719529
1600.001728,1000,923.651298
1535.280319,1000,925.635308
1563.353504,1000,926.555902
1503.729406,1000,928.527474
1637.160748,1000,929.615381
1569.39166,1000,931.375855
1598.733787,1000,932.295555
1563.550112,1000,934.071458
1559.416042,1000,935.039656
1630.440039,1000,936.833883
1636.51759,1000,937.807536
1540.294729,1000,939.650909
1612.676979,1000,940.614158
