#{"t_start": 1524090431.0450215, "env_id": "Hopper-v2"}
r,l,t
255.736035,110,35.344234
238.303341,110,35.467581
232.874791,112,35.593457
237.952176,106,35.733137
267.337665,118,36.747559
284.185232,123,36.876992
247.673525,111,37.000187
248.923885,111,37.14561
290.709596,125,37.288597
255.513405,110,37.409537
260.733412,111,37.530646
258.704763,112,37.652351
203.440341,96,37.758873
257.464327,131,37.91509
250.754074,120,38.063766
251.693329,122,38.202137
284.890532,123,38.333691
260.159554,114,38.45348
232.048201,111,38.582429
270.71779,117,38.722099
309.528717,127,38.855916
284.968089,119,40.065102
294.299731,130,40.201536
288.938288,120,40.339768
303.200553,126,40.48746
283.100545,127,40.629145
290.474079,120,40.761744
296.656044,123,40.906249
265.480564,112,41.036389
283.932155,122,41.184781
252.971091,111,41.315894
303.733164,128,41.46744
250.455937,109,41.59236
249.047221,105,41.70212
266.926686,120,41.824525
248.23035,113,41.957981
285.42458,121,42.09758
262.391295,115,42.215064
258.878,113,42.344288
287.5454,124,43.438057
255.029154,110,43.557982
308.890533,123,43.707346
303.488326,125,43.838726
255.663302,112,43.964456
285.709925,121,44.111054
296.553054,126,44.251035
284.824142,119,44.383131
319.095964,124,44.51137
253.597403,114,44.637838
275.243555,119,44.769383
276.532358,118,44.894702
296.662409,127,45.02379
258.625357,112,45.147395
303.461592,124,45.274932
292.962995,127,45.414872
276.311803,115,45.535404
307.901242,126,46.683422
306.426075,123,46.814879
334.647883,134,46.952975
234.854095,105,47.062529
295.142098,123,47.189265
293.48238,122,47.315276
299.748669,123,47.441717
257.60135,112,47.558077
294.017327,117,47.679577
295.172667,124,47.813079
253.105808,110,47.928599
281.007941,123,48.05792
299.588275,124,48.188902
292.927869,119,48.317066
288.788461,126,48.44732
227.602849,106,48.556825
282.777252,118,48.680602
293.054811,121,49.687322
315.142533,133,49.826901
288.448058,117,49.953773
321.870033,130,50.092815
315.977335,128,50.224423
307.57409,129,50.355838
282.669473,120,50.485838
316.644983,133,50.621703
299.546884,124,50.754185
299.666673,122,50.878799
199.598553,94,50.975839
309.165499,124,51.102803
287.528684,118,51.224066
299.798541,122,51.34832
290.057913,122,51.47407
287.471936,119,51.602591
306.130538,127,52.851839
308.111677,125,53.011068
324.169437,130,53.151633
321.342725,128,53.282886
314.468975,128,53.4136
290.416373,118,53.533854
315.012727,129,53.665527
236.467404,109,53.776153
299.959174,120,53.899662
322.740486,137,54.039289
321.579972,134,54.176611
294.053605,121,54.312918
309.197009,125,54.443132
321.578217,128,54.574659
320.501474,131,54.710478
293.727699,122,54.835264
283.825102,119,54.95633
316.504899,134,56.022532
307.902569,122,56.16332
312.412625,124,56.289604
298.908478,122,56.41395
309.358473,124,56.539557
314.995745,127,56.672614
304.149536,133,56.824116
308.011072,130,56.967507
276.682398,117,57.090638
296.147157,121,57.222566
301.023236,124,57.354215
306.293411,122,57.479876
311.620822,130,57.615588
301.619214,122,57.740158
314.2511,126,57.877636
307.892423,127,58.006196
333.277864,134,59.216939
329.041352,133,59.390296
313.523479,125,59.599902
321.275216,128,59.81433
327.379871,133,60.004664
310.082388,123,60.18025
320.597453,132,60.375626
315.456056,128,60.539818
324.047008,130,60.712036
312.286019,127,60.872673
311.696041,123,61.044771
312.891625,124,61.198004
318.491533,130,61.35814
307.572716,127,61.510674
318.747234,132,61.659322
321.492885,131,61.804089
325.685306,124,62.85255
325.067,134,62.994259
321.148834,134,63.136765
335.205941,138,63.295256
317.759119,136,63.464604
321.577563,131,63.631991
310.349334,124,63.786368
324.768205,128,63.932662
313.273962,129,64.074827
324.200875,134,64.223495
315.673645,127,64.364659
306.011728,124,64.503199
322.463139,129,64.646433
302.444008,122,64.775028
329.39259,132,64.927889
324.503855,131,65.068686
319.201626,129,66.223697
336.146322,132,66.367433
320.045578,130,66.508734
337.212495,133,66.65485
327.587716,134,66.849239
341.43578,134,67.023361
322.063119,129,67.199322
324.436769,133,67.349571
330.388912,133,67.488412
310.85317,127,67.628241
341.325243,134,67.777801
319.66986,132,67.935233
326.604074,131,68.080072
349.17278,149,68.245341
314.34082,130,68.392043
335.069005,132,69.464879
310.549338,127,69.607193
317.979622,130,69.749166
326.67806,133,69.893586
319.098285,130,70.045456
320.972419,131,70.244178
327.801269,130,70.384501
296.152442,122,70.513382
320.496207,133,70.66004
316.804481,128,70.793509
333.160795,131,70.926391
324.582776,132,71.061335
321.661771,128,71.192669
330.596418,131,71.336596
313.297417,122,71.468365
331.225373,133,71.604048
331.8212,135,72.711301
315.142081,126,72.840998
340.007013,135,72.979208
318.480006,130,73.112557
320.094067,132,73.246933
323.01193,131,73.380804
331.085546,133,73.516814
324.495188,129,73.64981
336.151598,133,73.786239
321.614372,131,73.919972
318.808218,135,74.058248
332.63883,134,74.195152
321.02026,130,74.327701
322.986324,129,74.458655
337.294447,138,74.59931
324.574696,128,74.736224
336.425238,134,75.736327
326.618669,132,75.878047
316.293771,124,76.00728
314.581642,127,76.144771
338.859575,132,76.299731
333.761958,130,76.461376
321.405964,130,76.622956
320.900514,132,76.780444
315.411569,123,76.914517
320.49801,126,77.058163
342.107674,134,77.218122
339.335874,140,77.386536
319.628704,129,77.562059
327.525805,130,77.723315
