#{"t_start": 1524074778.0551548, "env_id": "Ant-v2"}
r,l,t
-37.932073,16,105.981725
-41.980965,24,106.023287
-119.773,57,106.12237
-1940.617233,1000,107.826318
-421.812074,226,109.692441
-87.30246,51,109.788596
-54.498004,45,109.87249
-57.921045,24,109.916985
-76.697851,51,110.012599
-89.889981,26,110.060694
-143.277215,70,110.191148
-69.182493,33,110.252911
-2002.627756,1000,112.144198
-173.003866,67,112.263681
-76.186141,47,112.349557
-180.649195,90,112.508342
-60.845276,25,112.555887
-57.338842,47,112.656767
-10.653377,12,112.684535
-31.650149,30,112.745313
-102.147462,49,112.834328
-80.671653,43,112.912086
-149.267246,75,113.044547
-85.077422,41,113.116975
-88.371448,60,113.224178
-65.699658,31,113.279339
-51.173661,23,113.320429
-102.193018,50,113.410674
-114.652514,38,113.477067
-82.465631,37,115.204372
-49.870106,25,115.251955
-56.988626,47,115.34827
-55.958724,18,115.386272
-11.581764,16,115.414987
-10.860895,15,115.441774
-78.912346,50,115.539137
-48.859018,24,115.589401
-71.713072,24,115.637125
-179.719594,114,115.871527
-29.852755,14,115.899578
-1891.462798,1000,117.790233
-29.252124,16,117.8189
-22.059172,12,117.840347
-43.903519,22,117.879386
-78.060563,35,117.941374
-237.076674,100,118.119742
-93.367115,47,118.203587
-151.511442,58,118.309156
-221.211637,95,118.478862
-100.829692,53,118.572035
-1886.682492,1000,122.13532
-217.081232,95,122.321097
-152.085787,108,122.522883
-50.865013,29,122.574614
-67.966186,39,122.645954
-50.866536,36,122.710631
-53.885789,31,122.766064
-39.408209,18,122.798877
-43.134428,21,122.83705
-29.633032,17,122.867432
-1436.715065,738,124.211602
-115.207873,60,124.319233
-26.313454,16,124.34971
-60.860199,36,124.415174
-118.91458,42,124.490197
-122.494139,78,126.308695
-24.229369,14,126.334998
-107.403224,66,126.469586
-66.176455,22,126.513011
-104.754615,45,126.602445
-11.528375,19,126.645612
-1966.095284,1000,128.588538
-79.211845,37,128.655519
-51.530423,27,128.703747
-104.476824,40,128.775497
-53.580762,27,128.823443
-29.051382,16,128.85163
-277.994082,110,129.04778
-53.033941,30,129.101753
-91.736825,38,129.169328
-87.912897,51,129.260857
-173.999335,71,129.389224
-43.796407,33,129.448459
-55.849629,22,129.487164
-54.68036,35,129.5516
-1834.507241,1000,133.121893
-47.962464,24,133.168892
-98.157121,79,133.317809
-35.747254,16,133.346669
-14.107635,14,133.372342
-162.040386,104,133.556904
-43.614883,15,133.583797
-49.535081,18,133.616174
-108.293292,65,133.732821
-72.335607,36,133.798241
-16.203205,16,133.827898
-95.101406,52,133.921916
-230.287384,85,134.073853
-150.945481,76,134.208951
-85.193459,53,134.303425
-48.857791,20,134.34066
-150.415303,98,134.514724
-267.413335,161,134.806201
-78.457177,42,134.88181
-200.544209,85,135.031811
-29.334214,12,135.053135
-20.55776,17,135.08329
