#{"t_start": 1524075484.6549065, "env_id": "Ant-v2"}
r,l,t
-112.678094,39,116.684693
-3064.974998,1000,118.508524
-84.753618,35,118.572611
-177.383652,64,118.686857
-58.082,20,118.72302
-141.780366,33,118.78283
-374.345155,158,119.068707
-21.097924,8,119.083677
-29.782199,12,120.664605
-3099.142443,1000,122.566167
-2895.674464,1000,124.406245
-271.386798,69,126.118402
-55.687835,27,126.177732
-2934.244766,1000,128.067406
-41.840103,13,128.091292
-56.73722,17,128.122391
-408.901974,133,128.362011
-60.188671,27,128.411058
-122.672025,37,128.477349
-309.917745,83,128.629044
-26.993461,10,128.647717
-208.776804,70,128.775
-136.579116,39,128.844663
-89.28385,33,128.904114
-54.167423,15,128.931849
-36.751714,15,128.959998
-151.552716,56,129.061852
-40.294075,16,129.09062
-161.12921,61,129.200394
-296.976401,92,129.366407
-167.105317,57,129.469554
-117.718795,28,129.520411
-86.689358,26,129.566525
-456.522313,157,129.851194
-47.583699,24,131.435543
-87.245587,39,131.522364
-2993.772895,1000,133.414908
-59.55606,26,133.461262
-262.548916,68,133.584702
-3057.32747,1000,136.970153
-66.659412,19,137.011553
-29.190386,16,137.046203
-285.224507,91,137.231945
-60.156079,18,137.270114
-157.685997,45,137.364994
-189.327393,56,137.482932
-80.027542,20,137.525597
-252.669422,75,137.666399
-202.613913,66,137.785531
-102.118433,19,137.819812
-141.51577,81,137.964798
-173.270781,52,138.057161
-39.127219,16,138.086134
-48.263539,16,138.114507
-64.2835,21,138.151764
-156.122158,51,138.243913
-284.470542,85,138.397417
-74.296371,23,138.440212
-221.700462,68,138.56374
-111.510516,34,138.624923
-76.186836,24,138.669431
-221.398863,64,138.783308
-77.268311,26,138.829412
-88.944531,21,138.867921
-115.043988,59,138.976263
-2992.983698,1000,142.289665
-117.036282,32,142.358931
-161.373312,51,142.466905
-177.713986,51,142.567728
-4.475477,9,142.585601
-104.838227,27,142.640263
-141.836223,49,142.738493
-46.112839,14,142.766189
-85.260365,26,142.818474
-265.185568,88,142.99604
-3022.672539,1000,144.847949
-27.862395,16,144.876758
-52.641184,14,144.902631
-61.738348,21,144.940611
-55.485042,19,144.974997
-2953.559381,1000,148.463295
-2427.189758,820,149.961161
-164.868231,57,150.065622
-42.138876,16,150.09453
-194.45655,44,150.173121
-143.620895,52,150.268343
-21.541063,12,150.289516
-70.646766,18,150.322441
-406.804326,135,150.566278
-84.676321,27,150.615837
-3147.339066,1000,154.079929
-103.297926,26,154.127838
-54.194148,16,154.157395
-253.950307,77,154.301651
-223.785536,95,154.479261
-68.433153,33,154.540157
-57.189273,16,154.571148
-280.06761,101,154.757719
-80.965663,21,154.798538
-147.12917,52,154.898343
-175.144728,55,154.998607
-280.272931,100,155.181777
-95.410174,35,155.247049
-555.492851,150,155.521533
-104.347384,49,155.614959
-646.634764,193,155.973326
-82.411082,25,156.021755
-70.722493,41,156.097784
-93.581365,35,156.164946
-120.36681,40,156.238779
-70.106665,25,156.283874
-63.78869,28,156.335633
-3070.396557,1000,159.80957
-62.221621,22,159.851358
-93.747163,34,159.912989
-112.063495,36,159.978077
-67.379542,17,160.00896
-3036.031095,1000,161.836857
-238.565432,74,161.96997
-2815.424541,1000,165.433626
-249.845505,79,165.579804
-99.238506,27,165.62925
-47.137485,23,165.670887
-115.544491,39,165.741455
-53.987722,14,165.767095
-315.772578,100,165.94895
-174.550436,48,166.036612
-113.73235,49,166.124489
