#{"t_start": 1524086290.5772145, "env_id": "Ant-v2"}
r,l,t
-78.060563,35,85.847844
-237.076674,100,85.97469
-93.367115,47,86.034242
-151.511442,58,86.108405
-221.211637,95,86.229131
-100.829692,53,86.296029
-1886.682492,1000,88.567276
-217.081232,95,88.689132
-152.085787,108,88.828909
-50.865013,29,88.866137
-67.966186,39,88.915989
-50.866536,36,88.962287
-53.885789,31,89.001884
-39.408209,18,89.024836
-43.134428,21,89.051363
-29.633032,17,89.07336
-1436.715065,738,90.024957
-115.207873,60,90.100946
-26.313454,16,90.124955
-60.860199,36,90.171676
-118.91458,42,90.225316
-122.494139,78,91.238119
-24.229369,14,91.256344
-107.403224,66,91.339784
-66.176455,22,91.368154
-104.754615,45,91.425784
-11.528375,19,91.449958
-1966.095284,1000,92.739105
-79.211845,37,92.785842
-51.530423,27,92.82004
-104.476824,40,92.870535
-53.580762,27,92.904882
-29.051382,16,92.925938
-277.994082,110,93.066669
-53.033941,30,93.104617
-91.736825,38,93.156762
-87.912897,51,93.223558
-173.999335,71,93.313052
-43.796407,33,93.355031
-55.849629,22,93.38294
-54.68036,35,93.427655
-1834.507241,1000,95.683854
-47.962464,24,95.714649
-98.157121,79,95.815021
-35.747254,16,95.835607
-14.107635,14,95.854594
-162.040386,104,95.988293
-43.614883,15,96.007633
-49.535081,18,96.030524
-108.293292,65,96.114082
-72.335607,36,96.160365
-16.203205,16,96.180912
-95.101406,52,96.24713
-230.287384,85,96.356763
-150.945481,76,96.45303
-85.193459,53,96.520508
-48.857791,20,96.546433
-150.415303,98,96.672242
-267.413335,161,96.87583
-78.457177,42,96.929396
-200.544209,85,97.037194
-29.334214,12,97.052618
-20.55776,17,97.074402
-23.612765,13,97.091146
-110.381138,63,97.17426
-1746.760398,1000,99.357066
-96.241095,57,99.429321
-43.392862,25,99.461111
-61.746592,57,99.533217
-59.414964,26,99.566297
-55.596267,22,99.594137
-59.395442,32,99.635292
-68.676041,52,99.701496
-44.762592,32,99.742332
-57.842275,24,99.773014
-42.603572,25,99.804794
-1835.127095,1000,102.047503
-147.627815,95,102.169107
-115.106596,50,102.232687
-54.960191,35,102.277431
-214.303348,104,102.410806
-85.531264,46,102.470413
-38.628466,15,102.489652
-65.340704,53,102.557515
-1712.126481,1000,103.845824
-1744.516118,1000,106.032362
-18.755509,27,106.066848
-1822.790494,1000,107.36578
-30.222669,22,107.393911
