#{"t_start": 1524074887.627351, "env_id": "Ant-v2"}
r,l,t
-1886.682492,1000,137.71005
-217.081232,95,137.880631
-152.085787,108,138.073654
-50.865013,29,138.127079
-67.966186,39,138.20406
-50.866536,36,138.278322
-53.885789,31,138.348554
-39.408209,18,138.391945
-43.134428,21,138.442191
-29.633032,17,138.481761
-1436.715065,738,140.089807
-115.207873,60,140.196807
-26.313454,16,140.225839
-60.860199,36,140.291011
-118.91458,42,140.365981
-122.494139,78,141.998375
-24.229369,14,142.024216
-107.403224,66,142.142113
-66.176455,22,142.181757
-104.754615,45,142.262829
-11.528375,19,142.296359
-1966.095284,1000,144.240674
-79.211845,37,144.329802
-51.530423,27,144.402848
-104.476824,40,144.502938
-53.580762,27,144.573233
-29.051382,16,144.614106
-277.994082,110,144.879653
-53.033941,30,144.955256
-91.736825,38,145.049292
-87.912897,51,145.180476
-173.999335,71,145.355298
-43.796407,33,145.425997
-55.849629,22,145.46806
-54.68036,35,145.538174
-1834.507241,1000,149.049253
-47.962464,24,149.093927
-98.157121,79,149.243467
-35.747254,16,149.274749
-14.107635,14,149.301375
-162.040386,104,149.500831
-43.614883,15,149.532356
-49.535081,18,149.56923
-108.293292,65,149.707687
-72.335607,36,149.795013
-16.203205,16,149.832618
-95.101406,52,149.950178
-230.287384,85,150.141092
-150.945481,76,150.309936
-85.193459,53,150.430011
-48.857791,20,150.476197
-150.415303,98,150.693047
-267.413335,161,151.052039
-78.457177,42,151.135245
-200.544209,85,151.299576
-29.334214,12,151.323022
-20.55776,17,151.353786
-23.612765,13,151.378725
-110.381138,63,151.496542
-1746.760398,1000,154.822391
-96.241095,57,154.924258
-43.392862,25,154.974456
-61.746592,57,155.09227
-59.414964,26,155.147776
-55.596267,22,155.193784
-59.395442,32,155.266181
-68.676041,52,155.383442
-44.762592,32,155.455692
-57.842275,24,155.510721
-42.603572,25,155.566742
-1835.127095,1000,159.164821
-147.627815,95,159.335431
-115.106596,50,159.424731
-54.960191,35,159.48707
-214.303348,104,159.672874
-85.531264,46,159.756883
-38.628466,15,159.783508
-65.340704,53,159.878135
-1712.126481,1000,161.929017
-1744.516118,1000,165.291277
-18.755509,27,165.340572
-1822.790494,1000,167.397319
-30.222669,22,167.446089
-2.695753,12,167.472103
-1573.913625,1000,170.834348
-176.852201,130,171.069831
-86.456112,33,171.130032
-104.362104,48,171.216922
-32.904697,20,171.252741
-17.258374,14,171.278965
-30.482115,22,171.319257
-24.637405,17,171.349714
-301.81473,165,171.66966
-69.693885,32,171.737278
-22.493027,18,171.773537
-214.026393,135,172.0671
-349.641516,180,172.462899
-24.904026,19,172.506644
-41.177529,21,172.553304
-22.71254,20,172.598753
-39.329936,31,172.667485
-235.912112,114,172.929056
-59.576789,41,173.02013
-121.066202,75,173.170695
-1563.755721,1000,176.498107
-106.349231,54,176.597069
-120.574766,65,176.716349
-249.825464,150,176.989931
-31.934493,21,177.033973
-143.117196,84,177.205627
-80.030628,39,177.284052
-428.901386,234,177.806484
-20.905442,11,177.83158
-88.462657,49,177.9427
-61.357047,29,178.007123
-14.452633,15,178.041182
-24.764948,17,178.079716
-42.629535,16,178.115594
-56.429138,25,178.171179
-105.909656,34,178.247456
-73.777548,35,178.326187
-1530.911787,1000,181.757634
-80.830162,35,181.82068
-36.273013,27,181.869182
-47.233877,19,181.905407
-57.003476,51,181.997834
-24.644452,13,182.021912
-12.756414,18,182.055077
-85.669407,39,182.127678
-39.149583,16,182.156441
